MultiClassConvolutionalTsetlinMachine2D,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,Epoch21,Epoch22,Epoch23,Epoch24,Epoch25,Epoch26,Epoch27,Epoch28,Epoch29,Epoch30,
Settings:
Clauses:,1000.0
Threshold:,8000.0
S:,27.0
Window_X:,5.0
Window_Y:,5.0
Shape_X:,9.0
Shape_Y:,9.0
Shape_Z:,2.0
9x9nodraw0,,65.6624,68.3879,68.3420,69.6918,69.9130,69.4075,68.6723,67.2593,69.6660,69.2955,69.2122,68.9595,69.1433,69.1490,68.5861,68.8647,69.2840,68.8245,68.9078,68.9595,68.9193,69.0112,69.0284,68.9049,68.9566,68.5804,68.4339,68.8446,68.8647,65.7687
9x9nodraw1,,65.1732,68.2492,69.0936,68.9557,69.8690,69.2286,69.3549,69.2659,66.7356,67.8930,68.6714,68.6484,69.0476,68.9758,69.1395,68.9040,69.2343,68.2090,68.9643,67.1865,69.2343,68.8839,68.9816,68.1171,69.0591,69.0045,68.7891,68.4330,68.8006,69.1280
9x9nodraw2,,65.0238,68.0338,68.4761,69.0850,69.5732,67.5886,69.0821,68.6111,69.8461
