MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,
Settings:
Clauses:,6000.0
Threshold:,80000.0
S:,27.0
9x9Natsukaze_Draw0,,76.5969,79.6539,81.9119,82.8694,83.4687,84.2373,84.4066,85.0232,84.9972,84.9624,84.6585,84.7258,84.8235,84.4500,84.3545,84.3306,84.3567,84.2915,84.1222,83.8551
9x9Natsukaze_Draw1,,75.6932,78.8328,80.5524,82.6215,83.3554,83.7918,84.0654,84.2999,84.4910,84.6104,84.3672,84.3998,84.5496,84.5170,84.4345,83.9308,84.0676,82.6563,83.4162,83.8678
9x9Natsukaze_Draw2,,75.7561,77.7906,81.1451,82.1873,83.0992,83.8092,83.7658,83.5942,84.4758,84.7602,84.8905,83.9568,83.8939,82.9494,84.3433,83.8352,83.8222,83.6746,83.9134,83.7223
9x9Natsukaze_Draw3,,74.7677,78.3286,80.4238,82.1478,83.0424,84.0195,84.1519,83.5830,84.6600,84.5818,83.1748,84.5579,84.1606,84.4950,84.2930,84.2149,84.1975,83.4614,83.7567,82.2043
9x9Natsukaze_Draw4,,76.0574,78.9669,81.3662,82.6494,83.4093,83.7285,84.3603,84.6100,84.6339,84.6144,84.6404,84.3929,84.4494,84.3603,84.3017,84.3278,84.1758,83.8197,83.8045,83.7220
9x9Natsukaze_Draw5,,74.4963,78.2547,80.3956,81.1208,82.7080,83.8132,83.9369,83.8067,84.5840,84.1628,84.1932,84.5036,84.2605,83.9847,84.0499,84.1823,83.4897,83.4137,83.1640,83.6047
9x9Natsukaze_Draw6,,74.9283,78.6152,80.8451,82.3497,83.1835,83.7871,84.0390,84.4407,83.9891,83.8783,84.6860,84.5558,84.3734,84.2995,84.1476,84.0043,83.8588,83.6113,83.5548,83.2943
9x9Natsukaze_Draw7,,76.4352,78.7845,81.2663,82.3042,82.8187,83.9543,83.1575,83.9956,84.8337,84.4602,83.8392,83.4354,83.9608,84.5210,84.1215,84.1345,83.7871,83.8827,83.4462,83.8979
9x9Natsukaze_Draw8,,75.5450,78.5044,80.7582,82.4475,83.3616,83.9652,84.1410,84.3343,84.5623,84.3213,84.7012,84.6122,84.5188,83.7893,83.8631,83.8501,83.9543,83.8805,83.2465,83.2204
9x9Natsukaze_Draw9,,76.1047,79.2053,80.8685,82.7901,83.3721,84.2949,84.6075,84.7856,84.7574,84.3839,85.0744,84.1776,84.7617,84.5446,84.4773,84.4925,83.9279,84.3491,84.2189,84.4078
