orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
1.0,0,24827,22991,1228,344,11591,28,0,25876,24074,0,344,11591,28,0,23822,17077,0,344,9099,23,0,25974,18939,0,523,9803,24,0,20322,14776,0,523,9803,23,0,20783,16305,0,527,12105,25,0,17429,13915,0,527,12105,21,0,18172,15135,0,565,12105,21,0,15396,13005,0,565,11849,20,0,16186,13728,0,565,11849,25
1.0,1872,21323,20519,2520,1098,3458,6,1872,22439,21473,2520,1198,3458,6,785,21676,18053,1732,1198,3458,2,1872,18674,17949,1609,1324,4015,6,891,17716,16992,1690,1323,2572,1,891,17716,16992,821,1435,2572,2,891,16391,16014,821,1471,3243,2,891,16793,16014,821,1506,3243,2,891,16793,16014,821,1506,3243,-2,0,16793,16014,821,1506,3243,-2
0.0,42794,3696,0,42048,274,10298,-22,30987,3696,0,32238,274,9586,-18,30091,2584,0,35990,432,8778,-22,22359,2595,0,28714,284,10092,-11,23132,1663,0,24013,251,7627,-11,15716,1652,1162,28131,449,8120,-8,14750,551,0,21845,260,7627,-13,9585,551,0,18067,272,6915,-10,9585,0,0,17664,263,7622,-8,6247,0,0,16314,287,8346,-8
0.0,8794,838,1419,7222,186,2963,-12,5813,838,1419,4415,194,2963,-11,5384,838,1419,4224,186,4398,-13,3412,838,1419,2335,205,2963,-12,3412,838,1419,2335,205,2963,-17,2168,838,1419,2335,230,2963,-25,2168,838,0,2335,230,3528,-25,1992,838,1419,3558,222,5114,-26,1992,838,0,3558,222,6386,-26,1127,838,0,1478,222,6386,-26
1.0,0,16918,17921,0,49,13804,7,0,16918,20028,0,58,12428,8,0,15958,15436,0,61,11569,11,0,15958,17271,0,58,11670,10,0,14591,14985,0,87,8352,10,0,15926,16075,0,87,9056,10,0,11857,14973,0,87,8813,10,0,15926,15983,0,121,9155,10,0,13998,14929,0,130,9949,9,0,12892,15029,0,223,8196,11
0.0,10804,4631,5453,7867,132,4221,-6,8596,4631,5453,7867,132,4221,-6,8047,1886,5453,7867,132,4108,-1,6217,2156,5453,4337,132,4412,-3,6217,961,5453,4337,132,6008,-6,4118,961,5453,4337,155,6008,-2,5858,1886,5453,6788,155,4136,1,5497,1886,5453,1682,155,5620,1,4028,1195,5453,3258,193,4440,3,4690,691,6192,1682,162,5620,-2
1.0,0,107531,84116,883,4,29753,41,0,111794,89571,0,4,31496,60,0,96614,76031,883,4,24292,40,0,99262,80229,883,4,23656,41,0,89957,68328,0,4,26035,40,1068,85118,74666,883,4,23837,41,1068,80672,64561,883,4,19866,40,1068,82175,68729,883,4,21842,40,0,78201,58239,0,15,18940,41,0,75574,61840,0,15,20557,42
0.0,39293,1101,3301,39314,174,16200,-19,27876,1101,3301,19856,174,15907,-18,27088,0,3301,26729,174,15293,-16,18772,0,3301,18791,183,13259,-13,19539,0,2493,19218,195,14296,-19,13899,0,3301,7544,183,13535,-12,14666,0,2493,7433,195,14572,-18,10860,801,2493,7433,223,14003,-15,11670,801,885,7433,223,13202,-16,8999,801,885,4943,220,12207,-19
0.0,23858,3376,885,29166,10,4878,-40,16881,3376,885,26827,29,4878,-34,17773,2009,885,26827,29,4878,-35,13628,2009,1991,16503,10,4674,-35,13716,756,885,22428,29,5716,-37,9684,756,1991,19533,29,4878,-35,12523,1904,885,17306,29,5495,-34,7128,0,2105,17737,97,6333,-35,7947,0,2105,17737,97,6333,-35,5518,0,3211,17737,97,6333,-35
0.0,7547,5812,4107,8209,46,4740,-7,4144,6816,5896,5931,46,4740,-7,5312,5026,4107,5708,116,3769,-8,4575,5026,7037,5058,68,4155,-8,4575,5026,6283,5058,196,4155,-8,1909,6030,7037,3519,143,3769,-8,3414,5026,6283,3492,196,4123,-12,3414,5026,7318,3492,265,4123,-11,3414,5026,7318,3492,265,4123,-16,3414,5026,7318,2527,274,4123,-15
0.0,36433,402,2834,45956,53,11346,-28,25309,402,2834,30342,53,9915,-28,27997,402,2834,35789,53,10854,-28,19638,402,2834,27120,112,10854,-20,20729,402,2834,27120,112,11521,-20,13525,402,2834,22056,112,10481,-20,14417,402,1713,22056,112,11392,-20,10435,402,2691,17575,112,9106,-20,10665,402,932,19334,155,10146,-19,7758,1004,2733,16171,69,9977,-28
1.0,659,115525,108634,0,0,41781,64,659,123068,113513,0,0,42447,64,659,109925,98860,0,0,39653,57,659,111998,103598,0,0,39379,56,659,102058,91226,0,0,35824,49,0,106236,96574,0,0,37887,50,0,92247,84316,0,6,34490,50,0,102436,90176,0,6,35513,50,0,86176,78004,0,6,30762,46,0,88364,82570,0,6,33803,58
1.0,3792,7026,14765,7297,330,9410,-14,3792,7026,14765,3906,330,9410,-11,3792,7026,11007,4571,330,10224,-12,4577,7026,12109,3906,330,9655,-12,4577,5888,9744,3906,330,9655,-12,2348,5888,9724,2937,336,9655,-12,2348,3533,7457,2937,337,11144,-13,2348,5888,8388,2937,406,8832,-10,2348,3533,7267,2937,407,10321,-11,2348,861,7942,2750,338,7126,-13
1.0,1735,7741,11066,2665,46,6656,-4,844,7741,12962,939,114,7443,-4,844,6884,8426,939,114,6475,-4,844,6884,8426,0,114,5575,0,844,5929,6036,0,114,4692,0,844,5693,7356,771,114,6535,-7,0,4905,4555,0,123,5357,0,844,5635,4710,0,114,5059,-6,844,5635,3671,0,114,5059,-6,1153,5200,4256,0,347,6882,3
