MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,
Settings:
Clauses:,5000.0
Threshold:,80000.0
S:,27.0
9x9Natsukaze_Draw0,,75.7111,78.8571,80.5593,81.8707,82.9107,83.5555,84.0701,84.2872,84.5087,84.4587,84.7670,84.7280,84.2590,84.5847,84.3393,84.2329,84.1244,83.8204,83.7965,83.8660
9x9Natsukaze_Draw1,,75.3349,78.2313,80.0291,81.4882,82.3045,83.3467,83.8613,83.6919,84.1262,84.2825,84.0849,84.3585,84.0089,84.1978,83.2881,83.9026,83.3337,83.3858,83.5139,83.2273
9x9Natsukaze_Draw2,,75.5195,77.3020,80.0334,81.4230,82.3849,83.0080,83.1947,83.8613,83.5942,84.4844,83.9460,84.2239,83.6833,82.9081,83.9286,83.6160,83.5834,82.9038,83.3446,83.7983
9x9Natsukaze_Draw3,,75.3213,78.0398,79.5228,81.6788,82.7753,82.9946,83.1640,83.8479,84.1020,84.0716,84.0759,83.6243,83.7676,84.0998,83.9652,84.1410,83.4376,83.9717,82.3215,83.6417
9x9Natsukaze_Draw4,,75.8663,78.6933,80.4868,81.8113,82.8361,83.1987,83.6113,84.0694,84.1497,84.2822,84.4928,84.3256,84.1280,84.4537,84.0889,83.9456,83.7871,83.5461,83.2791,83.5613
9x9Natsukaze_Draw5,,75.0369,77.7510,79.6248,80.9623,82.3259,82.7254,83.4701,84.1389,84.1041,82.9534,83.8045,83.8848,84.2974,83.7632,84.1584,83.7828,83.7242,83.2921,83.3181,82.8622
9x9Natsukaze_Draw6,,75.2649,77.5556,80.1416,81.7570,82.5886,83.0424,83.7437,83.7068,84.1628,83.8913,84.3734,84.2930,84.1150,84.2018,83.7654,83.4462,83.5787,83.6807,83.0359,83.2487
9x9Natsukaze_Draw7,,74.8285,77.7163,79.9201,81.9589,81.8504,83.1553,83.0337,83.5678,84.0433,82.8991,84.5796,84.6969,84.3907,83.7307,84.1606,83.9977,84.0607,82.7753,83.4701,82.8166
9x9Natsukaze_Draw8,,75.5102,78.2851,80.1589,82.0414,82.8361,83.4462,83.4180,83.6764,84.3017,83.8979,84.1519,83.9934,84.2474,83.7220,83.8762,84.0759,83.4202,83.5787,83.3702,83.2204
9x9Natsukaze_Draw9,,75.6726,78.3368,80.6449,82.0693,82.4254,83.2635,83.8345,83.8063,83.7911,84.5467,84.5315,84.5250,84.5902,84.0582,82.2712,83.7759,83.9952,84.1255,83.8649,83.8324
