MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,1000.0
Threshold:,8000.0
S:,80.0
90_100T_9x9Aya_Draw0,,88.9541,89.7835,90.3511,90.6943,91.0244,91.3139,91.4212,91.5774,91.6213,91.7465,91.8294,91.8489,92.0246,92.0002,91.9823
90_100T_9x9Aya_Draw1,,89.0434,90.0224,90.5103,90.9836,91.2162,91.4796,91.5479,91.7773,91.8082,91.9122,91.9236,92.0407,92.0358,92.0716,92.2473
90_100T_9x9Aya_Draw2,,89.1946,90.2615,90.7998,91.1186,91.4211,91.6846,91.6504,91.7447,91.7756,91.9675,92.0342,92.0651,92.0976,92.0960,92.1562
90_100T_9x9Aya_Draw3,,88.9816,89.9915,90.5705,90.8681,91.2162,91.3999,91.5886,91.6862,91.8244,91.7886,91.9269,91.8683,91.8700,92.0342,92.0619
90_100T_9x9Aya_Draw4,,89.1684,90.1491,90.6810,91.0436,91.2973,91.4275,91.6763,91.7641,91.8926,91.9951,92.0016,91.9284,92.0016,92.0341,92.1317
90_100T_9x9Aya_Draw5,,89.0725,90.0857,90.5899,90.9412,91.2453,91.4909,91.5868,91.7072,91.7966,91.8536,91.9235,92.0813,91.9495,92.0471,92.1284
90_100T_9x9Aya_Draw6,,88.8479,89.9310,90.5100,90.9231,91.1281,91.2956,91.5477,91.6306,91.7575,91.9217,91.8729,91.8681,91.9478,92.0356,91.9673
90_100T_9x9Aya_Draw7,,89.0577,90.0725,90.5832,90.9670,91.1687,91.3232,91.5428,91.7103,91.8388,91.9315,91.9445,91.9071,92.0730,92.0925,92.0453
90_100T_9x9Aya_Draw8,,88.8121,89.8790,90.4694,90.8841,90.9996,91.3362,91.4729,91.5802,91.6306,91.7054,91.7640,91.8990,91.8941,91.8908,91.9803
90_100T_9x9Aya_Draw9,,89.1244,89.9684,90.4791,90.9573,91.1899,91.4322,91.3997,91.5607,91.7640,91.8209,92.0128,91.9169,91.9347,92.0226,92.0990
mean,,89.0257,90.0145,90.5544,90.9381,91.1907,91.4184,91.5434,91.6739,91.7710,91.8643,91.9233,91.9424,91.9829,92.0325,92.0800
Single/k-Fold/Average/Last10,,92.2473,92.0800,91.3304,91.8232
Boost:,True
