orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,8000,7000,6151,6587,142,6039,-3,8000,7000,6236,4426,182,6039,-2,10101,7000,6236,5169,205,6039,-2,8455,7000,6236,2412,205,4895,-2,3971,2817,4013,3457,143,4605,-1,7221,5234,7297,2412,205,6651,-4,7221,5234,5363,2412,205,6651,-4,8867,4447,8206,2702,205,5385,-4,8748,3406,8206,1893,211,5385,-4,8748,3406,8206,1893,211,5385,-4
0.0,37739,0,805,36972,31,9096,-38,26709,0,1737,32151,48,9096,-38,25608,0,805,31233,42,7271,-35,17541,0,1737,27740,59,7907,-35,18146,0,1737,29383,75,7907,-35,11944,0,1737,20137,75,7219,-35,11944,0,1737,20137,76,7219,-36,9060,0,805,12564,111,7219,-35,7259,960,2529,9447,102,6583,-36,7259,960,2529,9447,102,6583,-36
0.0,24812,0,1003,24390,297,9515,-30,19570,0,1003,18223,297,8873,-30,20294,0,0,17081,304,7167,-29,15407,790,1003,19143,297,10668,-23,16246,790,1003,19143,323,11232,-24,12547,1554,1058,14129,321,12042,-22,13354,1554,1058,14129,321,12276,-22,9195,1554,1058,9741,321,11371,-21,6938,764,0,8916,304,9650,-28,6938,764,0,8916,304,9650,-28
0.0,27687,2042,885,29937,108,8859,-11,19904,2042,885,19466,108,8497,-8,21148,1051,885,19466,108,7806,-10,13493,2691,885,16617,153,7818,-8,14745,2691,885,17154,153,7818,-8,10691,2691,0,15286,153,7818,-7,10691,1640,0,15286,153,7818,-7,7150,1640,0,12327,172,7818,-10,6060,1353,0,9010,172,7818,-13,6060,1353,0,9010,172,7818,-13
0.0,13505,2955,3399,8098,365,1852,0,8741,3847,4523,5279,365,1131,0,7931,2955,3399,5130,383,2454,0,5043,3667,3531,4170,383,3165,-3,4614,2716,3399,5130,410,3146,-2,4210,2786,4523,1619,403,2545,-2,2448,2493,782,4170,430,3146,-4,3280,2070,4523,858,405,1893,-5,1640,2070,4158,858,448,2829,-4,1640,2070,4158,858,448,2829,-4
0.0,3822,1717,9088,1690,233,5577,-14,3822,1717,9980,889,233,5577,-10,3822,1717,7852,889,233,5577,-10,3822,1717,8862,889,233,5577,-10,3822,506,6979,889,250,5577,-7,3822,506,7989,889,250,5577,-7,3822,506,6810,889,39,5577,-7,3822,506,6810,0,41,5577,-6,1826,506,5749,0,41,5378,-6,1826,506,5749,0,41,5378,-6
0.0,33681,0,0,31186,65,18882,-37,25540,0,0,25654,65,15888,-37,25222,0,0,23694,65,18307,-37,18967,0,0,20058,65,16605,-37,19798,0,0,20058,65,16605,-42,15067,0,0,14482,65,14945,-41,15833,0,0,14482,70,14945,-41,11640,0,0,12374,70,14945,-41,7898,0,0,10852,82,15829,-41,7898,0,0,10852,82,15829,-41
0.0,6456,3118,2030,9598,268,2649,-17,3841,3118,2030,8915,368,2649,-17,3841,2130,2030,8915,382,3749,-17,2857,2772,2030,6069,382,3749,-14,3751,2567,885,4730,268,4157,-3,1752,2009,2030,5350,382,2851,-14,1979,1367,2030,4844,457,4195,-14,874,1367,2030,4125,457,3297,-14,0,1367,2030,4125,571,4306,-14,0,1367,2030,4125,571,4306,-14
0.0,29882,1363,2361,17836,9,11243,-20,22453,1363,2361,11817,9,10969,-19,25163,1363,2361,14281,9,10246,-21,16181,0,2361,11038,11,10969,-18,17334,0,2361,11038,11,10969,-19,13203,890,2361,10034,20,11832,-16,14188,890,2361,10733,20,11730,-17,11708,2253,2361,8608,26,10058,-17,8277,890,2361,7536,34,10102,-13,8277,890,2361,7536,34,10102,-13
0.0,19133,1743,2633,19019,6,7705,-15,13073,1743,2633,15796,31,6859,-15,13336,1743,2633,10232,6,5141,-16,8035,1743,1794,8555,31,5872,-15,9716,1743,2633,8555,31,5777,-16,6700,1743,3812,6635,31,4648,-11,6700,825,3812,6635,31,4648,-14,4770,918,1794,5499,31,4984,-15,3536,918,2973,4635,31,5076,-21,3536,918,2973,4635,31,5076,-21
0.0,14005,10505,11005,19642,1080,2214,-2,10554,11169,11882,16099,741,3015,-5,10554,8173,11882,16099,741,3025,-9,6793,7986,11005,9916,579,2724,0,6793,6370,8963,9916,393,2724,0,6793,4092,11005,8060,579,2165,-1,5706,6922,9840,8980,250,2929,-8,5706,3051,11982,7203,240,1998,-10,3084,1881,11875,6599,240,2634,-13,3084,1881,11875,6599,240,2634,-13
0.0,39312,2543,0,38622,350,9166,-19,29418,2543,0,28833,357,7392,-12,31186,2540,0,30641,383,9203,-19,21181,2426,0,23049,412,7392,-12,22083,1746,0,23049,586,7900,-12,17618,1746,0,20437,445,8230,-11,17281,808,0,15614,618,6231,-12,15079,1746,0,17002,675,4856,-11,10868,0,0,8813,704,1270,-11,10868,0,0,8813,704,1270,-11
0.0,11847,1042,5857,12054,31,4745,-4,6546,1042,5857,8819,58,3966,-3,4912,1042,7054,8685,31,3996,-1,2478,1042,7054,5116,31,2867,-4,1234,0,5967,5116,31,2879,-7,2478,0,8029,4004,31,3522,-1,2478,0,8029,4966,31,3522,-3,2478,0,8923,3694,31,3522,-2,1244,0,9499,3694,55,3522,-1,1244,0,9499,3694,55,3522,-1
0.0,2450,5644,5691,5984,24,10909,-12,2450,6327,8272,2612,24,10909,-2,2450,3651,4929,2612,24,9951,-2,1592,4230,5651,1316,37,8821,-6,1592,4230,3731,1316,42,8821,-14,1592,1788,4998,0,42,8842,-9,1592,897,4044,0,60,8460,-10,1592,897,4911,0,60,8460,-10,1592,897,5781,0,70,9035,-10,1592,897,5781,0,70,9035,-10
0.0,27108,2836,0,32762,252,5922,-33,21479,2836,0,25957,252,4940,-33,20736,2000,744,28429,252,6736,-33,14845,1875,0,19873,271,6736,-33,14628,1039,744,20594,252,6282,-33,11342,1039,0,14865,283,7810,-33,11573,1039,0,17239,271,6282,-35,10138,1039,0,12962,49,7810,-33,8332,1039,0,10777,80,6828,-34,8332,1039,0,10777,80,6828,-34
0.0,66387,0,0,69772,66,15259,-42,53581,646,0,54373,66,14288,-42,56767,646,0,56803,66,16121,-42,46119,1561,0,45366,66,15319,-33,48063,1561,0,45366,66,15952,-33,37886,1561,0,35382,82,14980,-32,39643,1561,0,35382,82,14980,-33,31356,1561,0,28398,82,14980,-33,27268,1561,0,25650,82,13373,-33,27268,1561,0,25650,82,13373,-33
0.0,83100,1170,801,86820,18,25729,-62,65732,1170,801,69104,18,21323,-36,64986,0,0,67768,18,24764,-47,50867,0,801,57762,18,20281,-36,53483,0,0,53797,18,23565,-36,43007,0,0,46341,18,22885,-35,44828,0,0,46341,18,22885,-36,36633,0,0,42448,49,18841,-38,29632,0,1582,39054,42,18150,-37,29632,0,1582,39054,42,18150,-37
0.0,6954,6387,6411,10258,796,5727,-2,6246,7465,6411,5405,538,5727,-2,5639,4314,6411,5297,796,6133,-1,4931,4314,6411,1863,538,6133,-1,2476,5434,3374,3739,503,4751,5,3224,3361,4225,1592,318,6717,3,2476,2475,2199,950,566,6133,2,2498,2603,4225,1592,405,6717,1,2498,2603,3358,1592,407,5886,2,2498,2603,3358,1592,407,5886,2
0.0,67312,0,1925,55671,100,17876,-44,51906,0,1925,39061,100,12311,-40,53441,0,1925,48828,290,17002,-44,41796,0,1925,32218,290,12523,-40,43290,0,1925,39014,290,15700,-40,33832,0,1925,36303,290,13970,-40,35198,0,1925,35770,290,14114,-37,27716,0,1925,30528,297,14785,-37,23759,838,1925,20180,297,12855,-36,23759,838,1925,20180,297,12855,-36
0.0,30764,0,0,27139,10,12251,-32,24954,0,0,18721,10,11300,-31,26582,0,0,23617,10,10517,-32,20716,0,0,15765,10,7959,-31,21836,0,0,19281,13,10523,-29,17055,0,0,10842,13,7959,-31,18009,0,0,10842,13,8941,-34,14866,0,824,8457,13,7961,-30,12482,0,0,8498,27,9094,-31,12482,0,0,8498,27,9094,-31
0.0,27881,976,1890,25674,440,12411,-27,20966,976,1890,21324,468,11995,-27,18225,976,1890,18420,446,12974,-27,14457,976,800,17580,448,12347,-21,13508,0,1890,15811,475,11931,-27,11180,976,0,15306,448,11379,-21,11180,976,0,15306,456,11379,-24,7301,0,0,10682,457,10339,-21,5041,0,1090,9555,485,11724,-13,5041,0,1090,9555,485,11724,-13
0.0,15760,3557,4238,18310,55,5781,-26,10528,3557,4238,14866,55,4741,-23,10662,3557,4238,12738,114,6383,-23,6150,2731,4238,9294,114,6173,-21,6959,2731,4238,9294,132,6173,-21,4425,2731,4238,8633,204,6914,-24,4425,1940,3070,9588,269,7752,-27,2377,2635,5033,5781,226,6914,-27,4752,1963,5033,2065,173,5571,-23,4752,1963,5033,2065,173,5571,-23
0.0,6742,7074,2606,5436,152,6127,0,4986,8877,2606,4446,153,6127,0,4986,5628,2606,4446,153,6127,-8,3733,5628,2606,4446,165,5868,-8,4724,5473,1590,4446,165,5834,-8,3780,5628,1590,4446,183,5881,-2,4724,5473,827,4446,178,5834,-9,3897,5523,1843,4446,196,6756,-8,3897,4810,1016,4446,205,5994,-3,3897,4810,1016,4446,205,5994,-3
0.0,1704,1605,3630,1155,62,5047,-14,1704,1605,3630,0,62,6076,-6,779,1605,2455,0,62,5047,-7,1704,635,3090,0,62,5047,0,1704,0,3090,0,97,5047,0,1704,0,3090,0,204,5047,0,1704,0,3090,0,204,5739,-4,1704,0,3090,0,220,5567,-4,1704,0,3090,0,311,5567,-4,1704,0,3090,0,311,5567,-4
0.0,41345,0,0,42547,9,16380,-37,28401,0,0,32001,9,15236,-36,30449,0,0,29787,17,14786,-37,21143,0,0,22842,9,13469,-37,23099,0,0,25672,9,14813,-38,15693,0,0,20312,9,14813,-37,17002,0,0,21066,9,15980,-37,12437,0,0,19707,16,14290,-37,10018,0,0,18116,30,14408,-38,10018,0,0,18116,30,14408,-38
0.0,4923,3678,6427,2888,447,6611,9,3939,4655,8158,2888,447,6611,10,3939,3659,7124,2888,447,6611,15,3939,3659,8303,2888,552,6611,15,3939,3659,6192,1914,451,7365,8,3939,3659,7371,1914,556,7365,8,3939,3659,6466,1914,559,7365,8,5914,3678,8164,1914,512,10140,-4,3939,3659,8834,1914,671,10140,8,3939,3659,8834,1914,671,10140,8
0.0,45715,0,0,40327,39,13011,-40,35864,0,0,34803,39,11531,-40,36916,0,0,35640,40,12943,-40,29355,0,0,30589,40,12943,-35,30273,0,0,30589,40,12943,-42,24185,0,0,27060,42,10341,-48,24964,0,0,27060,46,11791,-52,19688,0,0,19701,46,10455,-47,15279,0,0,22433,50,10975,-52,15279,0,0,22433,50,10975,-52
0.0,5183,5860,7804,3694,300,3746,4,3066,6552,9072,2653,307,3746,7,3066,4727,6872,2653,402,3746,6,3066,4727,6861,1008,402,3746,7,855,2587,6977,1638,309,4472,7,855,4680,8090,1638,311,4913,8,855,2587,6977,630,321,4472,3,855,4680,8090,630,323,4913,4,855,3692,9051,630,381,5876,-10,855,3692,9051,630,381,5876,-10
