orig_result,0_area,0_result,0_score,1_area,1_result,1_score,2_area,2_result,2_score,3_area,3_result,3_score,4_area,4_result,4_score,5_area,5_result,5_score,6_area,6_result,6_score,7_area,7_result,7_score,8_area,8_result,8_score,9_area,9_result,9_score
1.0,29,1,39968,32,1,50021,22,1,36141,32,1,52461,24,1,35270,32,1,57150,23,1,33100,32,1,59497,0,0,0,0,0,0
1.0,22,1,30438,26,1,42091,9,1,24844,26,1,42971,8,1,21241,26,1,44824,7,1,19338,26,1,47444,0,0,0,0,0,0
1.0,29,1,45810,34,1,52601,13,1,35314,34,1,53529,13,1,30933,29,1,51436,16,1,25588,34,1,58882,0,0,0,0,0,0
