orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
1.0,1262,50599,39968,0,59,17935,29,1262,52788,44657,0,59,20463,29,1262,38580,36141,0,65,17344,22,1262,40836,40928,0,65,17344,22,1262,32430,34741,0,65,13822,22,1262,32430,38632,0,65,15439,22,0,27997,34366,0,65,15439,22,1262,32368,37315,0,65,15454,21,1262,30810,34406,0,65,14211,21,1262,30810,34406,0,65,14211,21
1.0,0,42547,30438,0,5,7506,22,0,42911,32643,0,5,7506,22,0,36679,26017,0,5,6879,9,0,38082,28129,0,5,7149,9,0,29461,22643,0,5,7524,8,0,29461,24472,0,9,8742,8,0,22477,20673,0,9,8035,8,0,23243,22007,0,9,9407,12,0,22058,19282,0,9,8515,13,0,22058,19282,0,9,8515,13
1.0,1862,49061,45810,0,42,15744,29,604,50246,49280,0,55,15744,29,604,45140,37597,0,61,15863,13,604,46709,40779,0,61,17198,14,604,34457,31862,0,61,12910,13,604,36684,34261,0,74,12910,14,604,30911,27550,0,98,11061,13,604,30366,29945,0,78,15807,13,810,22270,25982,0,100,14853,13,810,22270,25982,0,100,14853,13
1.0,7523,12070,13390,1867,65,6488,2,6797,12070,14648,1867,65,7187,2,6797,12135,10263,1867,65,5790,1,5704,13025,10263,0,96,5790,1,4525,12040,8949,518,115,7086,1,4525,12040,9954,0,126,7086,1,4525,12040,8196,0,131,7086,-5,4525,10962,8871,0,152,7965,0,2397,11947,8343,0,138,5262,-5,2397,11947,8343,0,138,5262,-5
1.0,2996,5262,7624,754,121,6907,4,2996,6062,8407,754,121,6907,4,2996,5296,7606,754,121,6181,-15,1978,5296,7606,0,121,6181,-15,1978,5296,7606,0,139,6954,-15,871,5296,7606,0,139,6954,0,871,5296,7606,0,139,6954,0,871,5296,7606,0,157,6954,0,871,3404,7606,0,162,7600,0,871,3404,7606,0,162,7600,0
1.0,1327,5624,5022,2091,67,6518,-1,1327,6730,5882,962,67,5922,-1,1327,5812,4720,962,67,5922,-7,0,5812,7064,962,72,6648,-7,1327,5812,4642,0,93,7067,-7,0,5812,6986,0,98,7793,-7,0,4674,5928,0,98,7599,-2,0,5812,7225,0,219,7793,-6,0,2882,8120,0,310,7130,5,0,2882,8120,0,310,7130,5
1.0,1231,46954,48447,719,0,15736,29,1231,50403,51487,0,8,16675,29,1961,40990,40017,0,8,12553,26,1961,42537,43073,0,19,14156,26,1961,36574,35823,0,19,12403,29,730,39552,39622,0,32,13826,29,730,33276,32643,0,32,10426,24,730,33276,35288,0,32,12950,24,730,36518,35188,1841,32,15587,21,730,36518,35188,1841,32,15587,21
1.0,1015,56758,62079,0,35,21763,33,1015,59764,66968,0,35,23027,33,1015,50457,53085,0,35,22332,32,1015,51111,56493,0,60,22265,32,1015,38894,46828,0,60,17486,31,1015,39854,49168,0,61,20068,31,0,37891,40855,0,72,20377,32,1015,37312,43270,0,73,17346,29,0,33371,38709,0,166,20198,29,0,33371,38709,0,166,20198,29
1.0,0,18687,16114,835,42,6430,21,0,20858,19267,835,53,7369,22,0,15741,16545,835,53,7923,21,0,15741,18378,835,53,9377,21,0,14731,16011,835,53,9377,20,0,14640,17634,0,54,8726,32,0,13458,14927,0,54,8726,64,0,12589,17230,0,66,9464,33,0,12464,15824,0,66,9464,32,0,12464,15824,0,66,9464,32
1.0,0,24827,22991,1228,344,11591,28,0,25876,24074,0,344,11591,28,0,23822,17077,0,344,9099,23,0,25974,18939,0,523,9803,24,0,20322,14776,0,523,9803,23,0,20783,16305,0,527,12105,25,0,17429,13915,0,527,12105,21,0,18172,15135,0,565,12105,21,0,16186,13728,0,565,11849,25,0,16186,13728,0,565,11849,25
