MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,16000.0
s:,27.0
9x9Aya_Draw0,,92.5411,93.9141,94.1359,94.9287,94.7560,95.0701,94.2740,95.2940,95.6278,95.7090,94.3359,94.8265,95.7265,95.9705,95.1222
9x9Aya_Draw1,,92.7782,93.6573,93.4586,94.3970,95.8581,94.6530,94.6064,96.6103,95.2556,94.7479,94.9816,96.0457,95.5983,94.9449,94.6363
9x9Aya_Draw2,,92.9389,92.9714,93.1770,94.5744,94.6022,95.9598,95.2137,95.8735,96.5812,95.3569,94.8064,95.4393,95.9752,95.6466,95.2539
9x9Aya_Draw3,,92.5616,93.6611,94.2069,95.1385,95.5163,95.7406,94.3581,94.9146,95.8821,94.5868,96.8321,95.5060,95.2086,94.6073,94.6996
9x9Aya_Draw4,,93.2252,93.6953,94.2026,94.1453,95.2457,95.0744,94.6714,94.7915,95.1427,95.0769,94.0038,94.3427,94.9171,94.4846,95.2662
9x9Aya_Draw5,,92.5632,93.3047,93.8278,93.4889,95.2910,95.3402,96.4226,95.4846,96.2692,95.8769,94.9145,96.1897,94.8611,94.2308,95.3637
9x9Aya_Draw6,,93.3252,93.3850,94.3013,95.0718,95.4778,95.9773,94.0662,94.0192,95.1325,95.9111,94.2709,95.5688,95.4760,95.0419,93.6833
9x9Aya_Draw7,,93.1683,94.0166,94.0179,93.8867,94.8286,95.1602,95.1534,95.5602,95.2534,94.7696,95.7859,96.2051,94.5521,96.0414,94.8778
9x9Aya_Draw8,,93.3025,93.8427,93.5316,94.6790,94.7367,94.5649,95.6162,95.4769,95.6829,95.7081,94.3760,95.6679,96.2363,95.0470,95.1021
9x9Aya_Draw9,,92.6914,94.3901,93.7051,94.5748,93.7337,95.5128,95.1354,95.5517,96.2124,95.4218,94.5226,95.4551,95.7419,95.0090,95.0333
mean,,92.9100,93.6800,93.8600,94.4900,95.0000,95.3100,94.9500,95.3600,95.7000,95.3200,94.8800,95.5200,95.4300,95.1000,94.9000,94.8273,
singel-highest/max,,96.8321,95.7000,
