MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,27.0
9x9Aya_Draw0,,92.9663,93.6039,93.7616,95.9214,95.4560,95.5398,95.1551,95.9116,94.9316,93.4787,94.5175,94.8684,94.5393,94.6701,94.9167
9x9Aya_Draw1,,93.3193,95.2761,96.0150,96.5966,95.7663,96.1564,95.6778,96.9658,95.3975,95.0611,96.5919,96.0603,95.5184,96.4650,96.4432
9x9Aya_Draw2,,92.7415,93.3022,94.0402,94.4872,94.5667,94.5505,94.3081,94.1714,95.2180,94.4086,94.7889,95.5663,95.1757,95.2808,94.9586
9x9Aya_Draw3,,92.7449,93.5791,95.0693,93.8304,95.7124,94.4158,94.9124,94.5693,94.3201,95.9808,94.8022,94.2453,96.4833,94.3846,94.1889
9x9Aya_Draw4,,93.0838,93.9701,95.0338,95.9038,95.0799,95.0692,94.2462,94.3718,95.2825,94.4932,94.3154,94.7056,95.2906,95.2833,96.1876
9x9Aya_Draw5,,93.2509,95.0064,95.4885,94.4581,95.0996,95.4060,95.0111,94.6397,95.2654,94.2269,95.1188,96.0124,96.1756,95.5906,94.9756
9x9Aya_Draw6,,92.7115,94.7068,94.8850,93.4842,95.6337,95.0354,95.3752,95.8902,95.7850,95.9308,94.3893,96.1423,95.1944,95.3184,95.8906
9x9Aya_Draw7,,93.4094,93.5919,94.1042,96.2025,95.6927,95.4077,96.1128,95.3752,95.6996,95.1624,96.2799,96.5034,95.3278,96.1645,95.6457
9x9Aya_Draw8,,93.1790,93.5829,95.6107,95.4799,96.3615,95.7346,96.2551,96.6410,95.8487,96.1231,96.4427,96.0047,95.0043,94.4722,95.2184
9x9Aya_Draw9,,93.3701,94.4837,95.2961,95.2863,95.1867,94.2384,93.6743,96.4013,96.1055,95.7444,95.7201,94.8572,93.7837,95.1585,95.2859
mean,,93.0777,94.1103,94.9304,95.1650,95.4556,95.1554,95.0728,95.4937,95.3854,95.0610,95.2967,95.4966,95.2493,95.2788,95.3711,95.0400
Single/k-Fold,96.9658,95.4966
