MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,14000.0
Threshold:,2000.0
s:,27.0
9x9Natsukaze_Draw0,,81.6319,82.1334,82.1660,81.0934,82.1595,81.6362,82.4048,81.8273,81.6492,81.5624,81.6297,81.6753,81.5407,81.4864,81.4299,81.7351,
9x9Natsukaze_Draw1,,81.3905,81.2059,81.5750,81.3861,81.4295,81.3644,81.3231,81.3123,81.3036,81.7140,81.5533,81.4382,81.2320,81.2059,81.3340,81.3845,
9x9Natsukaze_Draw2,,81.2016,81.9767,82.3067,81.2623,82.0939,81.5902,82.0179,80.4308,81.6510,80.8628,81.7205,81.2428,80.7760,81.2862,81.8356,81.4837,
9x9Natsukaze_Draw3,,81.8352,82.0241,81.6245,81.4052,81.7678,81.7483,81.8134,81.3922,80.3999,81.5529,81.5203,80.8863,81.4791,81.2424,80.8038,81.4330,
9x9Natsukaze_Draw4,,81.5268,82.0979,82.0436,81.7375,81.9459,82.0132,81.7049,81.2598,81.6159,81.7765,81.4704,81.7005,81.1925,81.8504,81.7461,81.7121,
9x9Natsukaze_Draw5,,81.4964,81.8048,81.4660,81.6354,76.4569,81.8829,80.5020,81.2533,81.9459,79.9614,80.6192,81.2011,81.4291,81.4726,80.8603,80.9325,
9x9Natsukaze_Draw6,,80.9753,81.4769,81.7201,81.7244,81.5681,80.0721,80.8494,80.3348,81.7678,80.2067,81.3900,81.8330,80.2849,80.3305,80.4759,81.0007,
9x9Natsukaze_Draw7,,80.9145,81.8113,81.1838,81.9567,82.1869,81.1946,81.5073,80.2914,80.4390,81.9437,79.9331,81.1577,81.4508,78.9387,80.9059,81.0544,
9x9Natsukaze_Draw8,,81.4248,81.1143,80.6866,82.0197,82.0588,82.1826,81.9090,81.6093,80.6062,81.7613,81.4248,81.6115,80.3739,81.9003,81.6115,81.4863,
9x9Natsukaze_Draw9,,81.8912,82.1040,82.3841,82.3841,82.3081,82.1083,81.7197,82.0258,82.0845,81.9216,81.9433,81.9064,81.8152,81.6089,81.5047,81.9807,
mean,,81.4300,81.7700,81.7200,81.6600,81.4000,81.5800,81.5800,81.1700,81.3500,81.3300,81.3200,81.4700,81.1600,81.1300,81.2500,81.4213,
singel-highest/max,,82.4048,81.7700,
