MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,100.0
Threshold:,80.0
s:,27.0
9x9Natsukaze_Draw0,,70.3439,70.7825,71.0452,71.1950,71.7139,71.3079,71.1776,71.6792,71.4273,71.1429,71.4404,71.5576,71.2124,71.6553,70.9670,71.2432,
9x9Natsukaze_Draw1,,70.9143,70.6863,71.3572,71.3355,71.2617,71.4506,71.2878,71.2183,71.2465,71.4463,71.3507,71.0598,70.9512,71.7850,71.4549,71.2537,
9x9Natsukaze_Draw2,,70.7927,71.1770,71.3616,71.4311,71.1358,71.1249,71.3746,71.4658,71.0793,70.9013,71.6677,71.6634,71.6981,71.2378,71.7719,71.3255,
9x9Natsukaze_Draw3,,70.6553,70.9028,71.4912,71.3783,71.6845,71.3458,71.4022,71.7192,70.8963,71.3088,71.4630,71.6497,71.7388,71.6302,71.7192,71.3990,
9x9Natsukaze_Draw4,,70.4186,71.1351,71.6106,71.1047,71.0396,70.9875,71.2307,71.3458,71.7692,71.7757,71.8365,71.4608,71.9646,71.1547,71.2459,71.3387,
9x9Natsukaze_Draw5,,70.1820,70.9853,71.0722,70.7660,71.4587,70.9050,71.0917,71.5889,71.3219,71.6215,71.9798,71.2784,70.9093,71.0483,71.3045,71.1676,
9x9Natsukaze_Draw6,,70.4577,70.6857,71.4000,71.3132,71.0439,71.3132,71.2242,71.6106,71.1482,71.5998,71.4912,71.2133,71.0157,71.4087,70.8876,71.1875,
9x9Natsukaze_Draw7,,70.5836,70.7313,70.7617,70.7986,71.2372,71.1308,71.3588,71.6063,71.6801,71.3306,71.6193,71.4044,71.6584,71.2763,71.1091,71.2191,
9x9Natsukaze_Draw8,,70.2275,71.1569,70.8377,71.1221,70.9158,71.0114,71.0895,70.9202,71.5347,70.9549,71.3523,71.2784,71.4369,71.6714,71.0895,71.1066,
9x9Natsukaze_Draw9,,70.5244,70.9478,70.7220,71.0216,71.7164,71.5818,71.3929,71.2822,71.4211,70.9869,71.4494,71.5992,71.3082,71.5709,71.3907,71.2610,
mean,,70.5100,70.9191,71.1659,71.1466,71.3208,71.2159,71.2630,71.4436,71.3525,71.3069,71.5650,71.4165,71.3894,71.4439,71.2940,71.2502,
singel-highest/max,,71.9798,71.5650,
