MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,4000.0
Threshold:,64000.0
s:,27.0
9x9Natsukaze_Draw0,,75.4136,78.6204,80.8068,82.0704,83.0344,83.5772,83.7097,84.1852,84.1938,84.1352,84.3871,84.4218,83.8486,83.2125,83.4730,82.6060,
9x9Natsukaze_Draw1,,75.2415,77.9925,80.0682,81.4643,82.4457,82.7301,83.2360,83.4900,83.7614,83.7723,84.1045,83.8309,83.8917,83.6898,83.2816,82.2000,
9x9Natsukaze_Draw2,,75.1786,77.3585,79.7599,81.5099,81.6553,82.7670,82.7192,83.6008,83.6268,83.8352,83.3749,83.3923,83.6160,83.7332,83.6854,81.9875,
9x9Natsukaze_Draw3,,74.6743,76.9585,79.7355,80.9341,82.0414,83.2248,82.8426,83.4310,83.4614,84.3213,83.1531,83.7394,84.0195,83.5505,81.3748,81.8308,
9x9Natsukaze_Draw4,,75.7773,78.1505,80.3739,81.7375,82.3389,83.3355,83.6547,83.4940,83.7936,83.9369,83.8913,83.5895,83.2856,83.5201,83.3116,82.2794,
9x9Natsukaze_Draw5,,75.2323,77.6924,79.7334,81.2077,82.0219,82.7514,83.1249,83.5657,83.3985,83.3312,83.3268,83.5961,83.9847,83.3963,82.8383,81.9468,
9x9Natsukaze_Draw6,,74.9457,78.4197,79.6465,81.3271,82.5191,82.8405,83.6134,83.5874,83.3377,83.8088,83.9478,83.7155,83.2725,83.5201,83.3637,82.1244,
9x9Natsukaze_Draw7,,74.9870,77.6229,80.1394,81.5377,81.9741,83.0576,82.9620,83.6460,83.7480,83.5287,83.7372,83.4158,83.1054,83.6265,83.6026,82.0461,
9x9Natsukaze_Draw8,,75.8381,78.0723,80.1633,81.3249,81.5681,82.7775,83.1683,83.8197,83.5635,83.3377,83.3290,83.5830,83.1770,83.0337,83.1748,81.9954,
9x9Natsukaze_Draw9,,75.6205,77.7592,80.2258,81.9021,82.3667,82.6012,83.4350,84.0538,83.8693,84.1060,83.6999,83.8563,84.0213,84.0517,83.6695,82.3492,
mean,,75.2900,77.8600,80.0700,81.5000,82.2000,82.9700,83.2500,83.6900,83.6800,83.8100,83.7000,83.7100,83.6200,83.5300,83.1800,82.1373,
singel-highest/max,,84.4218,83.8100,
