MultiClassConvolutionalTsetlinMachine2D,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,
Settings:
Clauses:,32000.0
Threshold:,16000.0
s:,40.0
Window_X:,9.0
Window_Y:,9.0
Shape_X:,9.0
Shape_Y:,9.0
Shape_Z:,2.0
9x9Aya_Draw0,,92.6176,92.9983,93.6923,93.8859,93.3675,94.9479,94.5022,94.2483,94.9325,94.6637,95.5103,94.9701,95.3128,94.9774,95.5372
mean,,92.6176,92.9983,93.6923,93.8859,93.3675,94.9479,94.5022,94.2483,94.9325,94.6637,95.5103,94.9701,95.3128,94.9774,95.5372,94.4109
single-highest/max,,95.5372,95.5372,9x9Aya_Draw1,,92.5120,93.7090,93.8611,94.4393,95.3590,95.0816,94.5287,95.7842,96.5829,95.5530,96.4342,96.5898,95.4987,97.2060,96.6188
mean,,92.5648,93.3537,93.7767,94.1626,94.3632,95.0147,94.5155,95.0162,95.7577,95.1084,95.9723,95.7799,95.4057,96.0917,96.0780,94.8641
single-highest/max,,97.2060,96.0917,9x9Aya_Draw2,,92.2543,92.7812,93.5060,93.3252,93.7137,93.8321,94.4188,93.7099,94.3316,94.8577,94.4782,94.8808,94.5526,94.7039,95.1440
mean,,92.4613,93.1628,93.6865,93.8835,94.1467,94.6205,94.4832,94.5808,95.2823,95.0248,95.4742,95.4802,95.1214,95.6291,95.7667,94.5869
single-highest/max,,97.2060,95.7667,9x9Aya_Draw3,,92.6385,92.8321,93.7060,94.2560,94.2573,94.4235,94.4086,95.0210,94.1487,95.2158,95.3919,94.7590,96.4419,95.1137,95.5598
mean,,92.5056,93.0802,93.6913,93.9766,94.1744,94.5713,94.4646,94.6908,94.9989,95.0725,95.4537,95.2999,95.4515,95.5002,95.7150,94.5764
single-highest/max,,97.2060,95.7150,9x9Aya_Draw4,,92.8526,92.9842,94.1440,93.4744,93.8081,94.5658,94.1085,94.3423,95.0564,95.0902,95.3893,96.0585,94.8269,95.1893,95.3034
mean,,92.5750,93.0610,93.7819,93.8762,94.1011,94.5702,94.3934,94.6211,95.0104,95.0761,95.4408,95.4516,95.3266,95.4381,95.6326,94.5571
single-highest/max,,97.2060,95.6326,9x9Aya_Draw5,,92.8987,93.7521,93.9530,93.6632,94.5726,95.2141,95.1132,95.4880,95.1842,95.8799,95.9064,95.4295,95.3675,96.0128,95.4325
mean,,92.6289,93.1762,93.8104,93.8407,94.1797,94.6775,94.5133,94.7656,95.0394,95.2100,95.5184,95.4479,95.3334,95.5338,95.5993,94.6183
single-highest/max,,97.2060,95.5993,9x9Aya_Draw6,,92.3119,93.1273,94.053,94.394,93.6448,94.4384,93.9363,94.6666,95.0876,94.4624,95.8299,95.7637,95.5273,95.1936,96.0295
mean,,92.5837,93.1692,93.8451,93.9197,94.1033,94.6433,94.4309,94.7515,95.0463,95.1032,95.5629,95.4931,95.3611,95.4852,95.6607,94.6106
single-highest/max,,97.2060,95.6607,9x9Aya_Draw7,,93.0871,92.9726,94.5713,95.0141,94.6803,94.4209,95.0137,95.2846,95.5769,95.3585,95.9094,96.2423,94.8166,96.203,96.5483
mean,,92.6466,93.1446,93.9358,94.0565,94.1754,94.6155,94.5037,94.8181,95.1126,95.1352,95.6062,95.5867,95.2930,95.5750,95.7717,94.6651
single-highest/max,,97.2060,95.7717,9x9Aya_Draw8,,92.126,92.929,93.7957,94.347,93.9337,94.8483,95.0406,95.6624,95.5884,95.0483,94.7342,95.6141,96.3649,95.7047
