MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,256000.0
S:,27.0
9x9Aya_Draw0,,91.6782,92.1009,92.4017,92.3317,92.7466,92.8056,92.5859,92.6539,92.6299,93.0171,92.9629,92.8970,92.7470,92.9688,92.9218
9x9Aya_Draw1,,91.7359,92.1560,92.6453,92.6167,92.3782,92.4082,92.8069,93.1663,92.7881,93.3684,92.9492,92.7676,93.2975,92.8282,93.1453
9x9Aya_Draw2,,91.2107,92.2958,92.3120,92.7205,92.5235,92.5556,92.6872,92.6915,92.6470,92.5270,93.2124,93.0381,92.4979,92.8697,92.9658
9x9Aya_Draw3,,91.6436,92.3479,92.0517,92.3962,92.6432,92.7590,92.6765,92.7188,92.9530,93.3393,92.6573,92.9355,93.3120,93.3154,93.6479
9x9Aya_Draw4,,91.8718,92.1620,92.2885,92.4607,92.6885,92.9051,92.9782,93.4214,92.7427,92.7333,92.8231,92.8453,92.8611,92.8073,92.9308
9x9Aya_Draw5,,91.8321,91.9799,92.6252,92.3534,92.5714,92.7885,92.5641,92.5436,93.0303,92.9474,92.5376,92.8491,92.9308,93.3812,93.6474
9x9Aya_Draw6,,91.9218,92.2102,92.1239,92.6017,92.4897,92.7427,92.9030,93.1568,92.7162,92.9128,92.7871,93.1324,93.0021,93.0115,92.8136
9x9Aya_Draw7,,91.7795,91.7102,92.4491,92.8679,93.0008,92.2987,93.4119,92.8423,93.1158,93.1372,92.7910,93.1534,93.1401,93.3196,93.6060
9x9Aya_Draw8,,91.5410,91.8162,92.5948,92.5004,92.5324,92.3495,92.4654,92.6833,93.1944,93.0859,94.1466,93.0367,93.3410,93.7389,93.9594
9x9Aya_Draw9,,91.3495,91.8889,92.4094,92.5692,92.5320,92.7175,92.8192,92.8431,92.6013,93.4269,93.6867,92.7192,92.8478,93.5124,93.2696
mean,,91.6564,92.0668,92.3902,92.5418,92.6106,92.6330,92.7898,92.8721,92.8419,93.0495,93.0554,92.9374,92.9977,93.1753,93.2908,92.7273
Single/k-Fold,94.1466,93.2908
