MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,55.0
9x9Aya_Draw0,,92.2624,93.4522,93.8056,94.6128,94.7210,94.7693,94.8218,94.8453,95.0278,95.6252,94.9868,95.1428,94.5838,95.8641,95.2667
9x9Aya_Draw1,,93.0577,94.0163,94.0744,94.2099,94.8282,94.5389,94.6748,94.9517,94.3945,94.8150,95.5530,95.8710,95.8449,96.3979,95.3765
9x9Aya_Draw2,,92.2287,92.9423,93.8787,93.7406,93.8351,95.2744,95.1372,95.2765,95.2222,95.6616,95.1551,95.9539,95.6658,96.0022,94.7910
9x9Aya_Draw3,,92.9667,93.5787,94.2530,93.9594,94.6402,94.6881,95.0744,94.9146,95.8457,94.9624,95.9428,95.6697,95.5504,95.4278,95.6889
9x9Aya_Draw4,,92.8214,93.4897,94.2543,93.5500,94.3278,94.8927,94.4380,95.1509,94.9226,95.1838,95.6226,94.9551,95.4103,95.3043,95.4128
9x9Aya_Draw5,,92.9363,93.1962,94.1269,94.0282,94.6568,94.3192,95.1808,94.8667,94.5423,95.1645,94.7662,95.6880,95.8709,95.3363,95.4449
9x9Aya_Draw6,,92.8713,93.3948,93.9752,93.5910,94.3188,95.1615,95.6496,95.4316,95.6513,95.7427,95.4748,95.5731,95.9149,95.0085,95.8184
9x9Aya_Draw7,,92.5410,93.1683,93.7427,94.3530,94.8799,95.0568,95.5966,95.0359,95.8269,95.5260,95.4444,96.0017,95.3154,96.1081,95.9803
9x9Aya_Draw8,,92.2465,93.3777,93.7235,93.8013,94.7436,95.1149,95.7812,95.1008,95.8619,95.0149,94.9376,95.4376,94.9568,96.0000,95.3893
9x9Aya_Draw9,,92.1068,93.5696,94.3359,94.2393,95.0158,95.0188,95.3085,95.2166,95.5816,94.8983,95.8201,94.8384,96.1004,95.0166,95.8615
mean,,92.6039,93.4186,94.0170,94.0085,94.5967,94.8835,95.1663,95.0791,95.2877,95.2594,95.3703,95.5131,95.5214,95.6466,95.5030
Single/k-Fold/Average,,96.3979,95.6466,94.7917
