MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,28.0
9x9Aya_Draw0,,93.0838,94.0564,94.3304,95.1881,95.1705,95.8663,95.4697,94.8184,95.8145,95.9385,94.6804,95.4436,95.5970,95.4526,95.2423
9x9Aya_Draw1,,93.2086,94.4496,94.3727,94.9547,95.7500,95.9141,95.8821,95.3539,94.4077,94.8893,95.6222,95.2782,95.6299,94.9633,94.4539
9x9Aya_Draw2,,93.4825,93.5128,95.0979,94.6304,95.3693,95.2120,94.1782,95.1013,95.5915,96.3167,95.2389,95.5163,94.2269,94.9663,93.9842
9x9Aya_Draw3,,93.6552,94.6522,94.7889,95.1244,94.7607,94.9966,95.9201,95.6838,96.0821,95.0389,96.3047,95.3124,96.0047,94.4564,94.0744
9x9Aya_Draw4,,93.7457,94.0919,94.6145,94.4897,95.2919,95.0859,94.8598,94.8821,95.5090,94.5269,95.6282,94.9162,95.1000,94.8338,94.8222
9x9Aya_Draw5,,93.6526,93.5449,93.8205,93.5141,94.3987,94.3949,95.2265,93.7184,93.7359,95.4034,95.2949,95.1342,95.1209,95.8013,95.1632
9x9Aya_Draw6,,94.0231,93.5636,94.0483,94.7752,94.9521,94.5491,95.1175,94.1423,94.8769,94.3995,93.9534,95.8269,95.3440,95.1256,95.5423
9x9Aya_Draw7,,93.3038,93.8094,94.7508,95.1440,95.2816,94.8649,96.0957,94.8171,95.3671,95.7239,96.2778,95.4162,95.4564,95.1461,96.1645
9x9Aya_Draw8,,93.7171,94.4671,94.0530,94.1637,96.5773,95.9906,95.5649,95.1602,95.9115,94.6410,94.7047,96.0842,94.5346,95.2098,94.1337
9x9Aya_Draw9,,93.1679,93.1500,94.4102,95.0658,95.7786,95.2444,95.8560,96.3243,95.7722,95.0043,96.2466,95.2449,95.2842,95.6517,94.3235
mean,,93.5040,93.9298,94.4287,94.7050,95.3331,95.2119,95.4171,95.0002,95.3068,95.1882,95.3952,95.4173,95.2299,95.1607,94.7904
Single/k-Fold/Average,96.5773,95.4173,94.9345
