MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,4000.0
Threshold:,128000.0
s:,27.0
9x9Natsukaze_Draw0,,73.6571,75.7067,77.6065,79.6887,80.6396,81.7534,81.8642,82.8977,82.8347,83.4795,83.7032,84.0375,84.1591,84.2959,84.5304,81.3903,
9x9Natsukaze_Draw1,,73.5784,75.7735,77.5843,79.0130,79.8489,81.2602,81.5055,82.4999,82.5282,83.0970,83.1817,83.6290,82.9212,83.8613,83.3446,80.9084,
9x9Natsukaze_Draw2,,72.6600,75.7127,77.1066,78.3334,79.4667,80.7282,81.5142,81.3535,82.1156,82.5151,83.2577,83.4813,82.8951,83.8939,83.3424,80.5584,
9x9Natsukaze_Draw3,,73.2348,75.0738,77.2885,78.1918,79.6639,80.5433,81.4118,81.9567,83.0033,83.0511,82.8861,83.4354,83.3833,83.7394,83.8610,80.7149,
9x9Natsukaze_Draw4,,73.8015,76.2810,77.4579,79.3143,80.2545,81.2142,82.0762,82.4627,82.8557,82.9881,83.5483,83.8458,83.9391,83.5505,84.0629,81.1768,
9x9Natsukaze_Draw5,,72.8787,75.4429,76.8912,78.6021,79.8028,80.7018,81.5963,82.3606,82.3867,82.6429,83.1314,83.2877,83.3789,83.3181,83.1531,80.6384,
9x9Natsukaze_Draw6,,73.3889,75.3691,76.5177,79.0234,80.2675,81.0231,81.7027,82.1022,82.9360,82.9534,82.8774,82.8470,83.1792,83.7046,83.1944,80.7391,
9x9Natsukaze_Draw7,,72.8852,75.2910,77.5426,78.9191,79.3838,80.6648,81.6093,81.7787,82.6103,83.1683,82.6624,83.8913,84.0216,83.2009,83.0598,80.7126,
9x9Natsukaze_Draw8,,73.6495,75.7730,77.4362,79.3621,79.4250,81.2381,81.4118,82.9143,83.0619,82.9990,83.2508,83.6547,83.6807,83.9652,83.9044,81.0484,
9x9Natsukaze_Draw9,,73.9116,75.1623,77.3423,78.7558,80.5059,80.9858,81.8239,82.7445,83.0268,83.2222,82.9725,83.6999,83.3395,84.0973,83.4329,81.0016,
mean,,73.3600,75.5600,77.2800,78.9200,79.9300,81.0100,81.6500,82.3100,82.7400,83.0100,83.1500,83.5800,83.4900,83.7600,83.5900,80.8893,
singel-highest/max,,84.5304,83.7600,
